timestamp;tipofruta;lote;temperatura;umidade_ar;mq3_raw;estado_previsto;estado_real;validade;origem_arquivo
2025-12-03 01:28:56.630;banana;lote1;26.6;71.6;1920;madura;sem risco;48.0;banana.csv
2025-12-03 01:29:56.518;banana;lote1;26.6;70.9;1930;madura;sem risco;48.0;banana.csv
2025-12-03 01:30:56.541;banana;lote1;26.7;72.0;1937;madura;sem risco;48.0;banana.csv
2025-12-03 01:31:56.550;banana;lote1;26.8;71.9;1923;madura;sem risco;48.0;banana.csv
2025-12-03 01:32:56.558;banana;lote1;26.8;72.7;1911;madura;sem risco;48.0;banana.csv
2025-12-04 05:32:10.082;banana;lote_Madrugada;26.6;70.9;2602;alerta;sem risco;12.0;banana.csv
2025-12-04 06:06:48.240;banana;lote_Madrugada_2;26.4;75.2;2476;madura;sem risco;48.0;banana.csv
2025-12-04 06:07:48.146;banana;lote_Madrugada_2;26.4;75.4;2468;madura;sem risco;48.0;banana.csv
2025-12-04 06:08:48.051;banana;lote_Madrugada_2;26.4;75.5;2441;madura;sem risco;48.0;banana.csv
2025-12-04 06:09:48.158;banana;lote_Madrugada_2;26.4;75.4;2466;madura;sem risco;48.0;banana.csv
2025-12-04 06:10:48.167;banana;lote_Madrugada_2;26.4;75.5;2507;madura;sem risco;48.0;banana.csv
2025-12-04 06:11:48.068;banana;lote_Madrugada_2;26.4;75.8;2524;madura;sem risco;48.0;banana.csv
2025-12-04 06:13:48.085;banana;lote_Madrugada_2;26.3;76.0;2550;madura;sem risco;48.0;banana.csv
2025-12-04 06:15:08.772;banana;lote_Madrugada_2;26.4;76.3;2563;madura;sem risco;48.0;banana.csv
2025-12-04 06:16:08.784;banana;lote_Madrugada_2;26.3;76.4;2557;madura;sem risco;48.0;banana.csv
2025-12-04 06:17:08.790;banana;lote_Madrugada_2;26.3;76.3;2575;madura;sem risco;48.0;banana.csv
2025-12-04 06:18:08.793;banana;lote_Madrugada_2;26.3;76.4;2592;madura;sem risco;48.0;banana.csv
2025-12-04 06:19:09.400;banana;lote_Madrugada_2;26.3;76.6;2586;madura;sem risco;48.0;banana.csv
2025-12-04 06:20:08.695;banana;lote_Madrugada_2;26.3;76.6;2610;alerta;sem risco;12.0;banana.csv
2025-12-04 06:21:08.771;banana;lote_Madrugada_2;26.3;76.5;2608;alerta;sem risco;12.0;banana.csv
2025-12-04 06:22:08.707;banana;lote_Madrugada_2;26.3;76.6;2555;madura;sem risco;48.0;banana.csv
2025-12-04 06:23:08.829;banana;lote_Madrugada_2;26.3;76.6;2558;madura;sem risco;48.0;banana.csv
2025-12-04 06:24:11.829;banana;lote_Madrugada_2;26.3;75.9;2577;madura;sem risco;48.0;banana.csv
2025-12-04 06:25:08.736;banana;lote_Madrugada_2;26.3;76.0;2603;alerta;sem risco;12.0;banana.csv
2025-12-04 06:26:08.855;banana;lote_Madrugada_2;26.3;76.2;2587;madura;sem risco;48.0;banana.csv
2025-12-04 06:27:08.707;banana;lote_Madrugada_2;26.3;76.5;2584;madura;sem risco;48.0;banana.csv
2025-12-04 06:28:08.860;banana;lote_Madrugada_2;26.3;76.3;2611;alerta;sem risco;12.0;banana.csv
2025-12-04 06:29:08.865;banana;lote_Madrugada_2;26.3;76.3;2623;alerta;sem risco;12.0;banana.csv
2025-12-04 06:30:08.832;banana;lote_Madrugada_2;26.3;76.6;2622;alerta;sem risco;12.0;banana.csv
